------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |                Configurations                  |        Terms       |        Ei           Ek        | gi   gk |    Aki    | Acc. |Type|
  No.  |                                                |                    |      (cm-1)       (cm-1)      |         |    s^-1   |      |    |
       |                                                |                    |                               |         |           |      |    |
------------------------------------------------------------------------------------------------------------------------------------------------
       |                                                |                    | 107054.2720   -  118651.3950  |  1 - 3  | 9.2e+05   | C    |    |
       |                                                |                    |                               |         |           |      |    |
    42 |                                                |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  118906.6110  |  3 - 5  | 1.93e+06  | C    |    |
       |                                                |                    |                               |         |           |      |    |
    43 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<3/2>).6s  |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  119760.1725  |  3 - 3  | 4.21e+05  | C    |    |
       |                                                |                    | 104102.0990   -  119683.0821  |  3 - 5  | 1.16e+06  | C    |    |
       |                                                |                    | 107054.2720   -  119760.1725  |  1 - 3  | 3.50e+05  | C    |    |
       |                                                |                    |                               |         |           |      |    |
    44 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<1/2>).4d  |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  121011.9198  |  3 - 3  | 1.05e+06  | C    |    |
       |                                                |                    | 104102.0990   -  120600.8905  |  3 - 5  | 4.2e+05   | C    |    |
       |                                                |                    | 107054.2720   -  121011.9198  |  1 - 3  | 5.8e+04   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    45 |                                                |  2[1/2]  - 2[5/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  120619.0162  |  3 - 5  | 1.9e+05   | D+   |    |
       |                                                |                    |                               |         |           |      |    |
    46 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<1/2>).6s  |  2[1/2]  - 2[1/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  121161.3135  |  3 - 3  | 2.85e+05  | C    |    |
       |                                                |                    | 104102.0990   -  121096.605   |  3 - 1  | 1.23e+06  | C    |    |
       |                                                |                    | 107054.2720   -  121161.3135  |  1 - 3  | 1.5e+05   | D+   |    |
       |                                                |                    |                               |         |           |      |    |
    47 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<3/2>).5d  |  2[1/2]  - 2[1/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  121932.8477  |  3 - 3  | 2.20e+06  | C    |    |
       |                                                |                    | 104102.0990   -  121794.0988  |  3 - 1  | 3.20e+06  | C    |    |
       |                                                |                    | 107054.2720   -  121932.8477  |  1 - 3  | 2.4e+05   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    48 |                                                |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  122086.9164  |  3 - 5  | 1.42e+06  | C    |    |
       |                                                |                    | 107054.2720   -  122514.192   |  1 - 3  | 1.5e+05   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    49 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<3/2>).7s  |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  122440.0672  |  3 - 5  | 4.7e+05   | D+   |    |
       |                                                |                    | 104102.0990   -  122479.3820  |  3 - 3  | 1.9e+05   | D+   |    |
       |                                                |                    | 107054.2720   -  122479.3820  |  1 - 3  | 9.4e+04   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    50 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<1/2>).5d  |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  123372.9253  |  3 - 5  | 1.38e+06  | C    |    |
       |                                                |                    | 107054.2720   -  123815.56    |  1 - 3  | 7.7e+04   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    51 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<3/2>).6d  |  2[1/2]  - 2[1/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  123508.927   |  3 - 1  | 2.39e+06  | C    |    |
       |                                                |                    | 104102.0990   -  123467.9733  |  3 - 3  | 1.90e+06  | C    |    |
       |                                                |                    | 107054.2720   -  123467.9733  |  1 - 3  | 3.0e+05   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    52 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<1/2>).5d  |  2[1/2]  - 2[5/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  123505.4896  |  3 - 5  | 1.1e+05   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    53 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<3/2>).6d  |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  123808.513   |  3 - 5  | 5.9e+04   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    54 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<1/2>).7s  |  2[1/2]  - 2[1/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  123873.000   |  3 - 1  | 5.7e+05   | D    |    |
       |                                                |                    | 104102.0990   -  123882.203   |  3 - 3  | 4.5e+05   | D    |    |
       |                                                |                    | 107054.2720   -  123882.203   |  1 - 3  | 1.2e+05   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    55 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<3/2>).8s  |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  123903.220   |  3 - 5  | 4.6e+05   | D    |    |
       |                                                |                    |                               |         |           |      |    |
