# eta f fd fdd g gd y p T rho u
2.214429 1.098475 0.887691 0.188692 1.315647 -0.360479 0.001538 1013.000000 394.693962 0.008940 1233.891070
2.224449 1.107379 0.889570 0.186327 1.312043 -0.358781 0.001544 1013.000000 393.612897 0.008964 1236.502659
2.234469 1.116302 0.891425 0.183975 1.308457 -0.357038 0.001550 1013.000000 392.537005 0.008989 1239.081399
2.244489 1.125243 0.893257 0.181638 1.304888 -0.355250 0.001556 1013.000000 391.466421 0.009013 1241.627489
2.254509 1.134203 0.895066 0.179316 1.301338 -0.353421 0.001563 1013.000000 390.401273 0.009038 1244.141133
2.264529 1.143180 0.896851 0.177009 1.297806 -0.351550 0.001569 1013.000000 389.341689 0.009062 1246.622535
2.274549 1.152176 0.898613 0.174716 1.294293 -0.349639 0.001575 1013.000000 388.287789 0.009087 1249.071906
2.284569 1.161189 0.900352 0.172439 1.290799 -0.347689 0.001581 1013.000000 387.239691 0.009112 1251.489455
2.294589 1.170219 0.902069 0.170178 1.287325 -0.345703 0.001587 1013.000000 386.197509 0.009136 1253.875396
2.304609 1.179266 0.903763 0.167932 1.283871 -0.343680 0.001593 1013.000000 385.161353 0.009161 1256.229946
2.314629 1.188330 0.905434 0.165701 1.280438 -0.341623 0.001600 1013.000000 384.131328 0.009185 1258.553324
2.324649 1.197411 0.907083 0.163487 1.277025 -0.339533 0.001606 1013.000000 383.107538 0.009210 1260.845748
2.334669 1.206508 0.908710 0.161289 1.273634 -0.337411 0.001612 1013.000000 382.090080 0.009234 1263.107444
2.344689 1.215622 0.910316 0.159107 1.270263 -0.335257 0.001618 1013.000000 381.079048 0.009259 1265.338636
2.354709 1.224751 0.911899 0.156941 1.266915 -0.333075 0.001624 1013.000000 380.074534 0.009283 1267.539551
2.364729 1.233896 0.913461 0.154792 1.263589 -0.330863 0.001630 1013.000000 379.076624 0.009308 1269.710418
2.374749 1.243057 0.915001 0.152659 1.260285 -0.328625 0.001636 1013.000000 378.085403 0.009332 1271.851468
2.384770 1.252233 0.916520 0.150544 1.257003 -0.326360 0.001642 1013.000000 377.100950 0.009357 1273.962934
2.394790 1.261424 0.918018 0.148445 1.253744 -0.324071 0.001648 1013.000000 376.123341 0.009381 1276.045051
2.404810 1.270630 0.919495 0.146363 1.250509 -0.321758 0.001654 1013.000000 375.152650 0.009405 1278.098053
2.414830 1.279850 0.920951 0.144298 1.247296 -0.319423 0.001660 1013.000000 374.188945 0.009429 1280.122179
2.424850 1.289086 0.922387 0.142251 1.244108 -0.317066 0.001666 1013.000000 373.232294 0.009454 1282.117668
