# x(m) s(m) tau_w(Pa) Cf Cf_blasius y_plus p(Pa) Cp q(W/m**2) Ch
0.126247 0.130045 -15.149008 -0.006478 0.003687 0.556633 677.801284 0.276229 55426.623141 0.010288
0.126839 0.130728 -14.922875 -0.006382 0.003677 0.560335 714.532918 0.291937 58892.126976 0.010931
0.127430 0.131411 -14.567975 -0.006230 0.003668 0.561568 754.066942 0.308844 62569.915886 0.011614
0.128022 0.132094 -14.093496 -0.006027 0.003658 0.560342 796.583498 0.327026 66444.561694 0.012333
0.128613 0.132777 -13.507784 -0.005777 0.003649 0.556316 842.517555 0.346670 70706.954510 0.013124
0.129205 0.133460 -12.739048 -0.005448 0.003640 0.547767 891.935419 0.367803 75292.287079 0.013975
0.129796 0.134143 -11.814274 -0.005052 0.003630 0.535120 945.056995 0.390521 79980.086199 0.014845
0.130388 0.134826 -10.719486 -0.004584 0.003621 0.516539 1002.256389 0.414982 85289.348934 0.015831
0.130979 0.135509 -9.419828 -0.004028 0.003612 0.490818 1063.546426 0.441193 90773.111626 0.016849
0.131571 0.136192 -7.869068 -0.003365 0.003603 0.454343 1129.571091 0.469428 96867.870846 0.017980
0.132162 0.136875 -6.032209 -0.002580 0.003594 0.402790 1199.801388 0.499462 103268.318842 0.019168
0.132754 0.137558 -3.845338 -0.001644 0.003585 0.325466 1275.710102 0.531925 110265.090331 0.020467
0.133345 0.138241 -1.244417 -0.000532 0.003576 0.187385 1356.346218 0.566409 117486.347583 0.021807
0.133937 0.138924 1.708395 0.000731 0.003567 0.222101 1442.182293 0.603117 125167.834244 0.023233
0.134528 0.139607 5.121518 0.002190 0.003559 0.388727 1532.961720 0.641939 133361.897004 0.024754
0.135120 0.140290 9.050947 0.003871 0.003550 0.522068 1628.705685 0.682884 142013.742140 0.026359
0.135711 0.140973 13.527396 0.005785 0.003541 0.644427 1728.860755 0.725715 151043.082613 0.028035
0.136303 0.141656 18.519651 0.007920 0.003533 0.761343 1833.013093 0.770256 160126.896479 0.029722
0.136894 0.142339 24.188909 0.010344 0.003524 0.877263 1940.785270 0.816345 169922.371150 0.031540
0.137486 0.143022 30.476687 0.013033 0.003516 0.993061 2049.869587 0.862995 179345.491523 0.033289
0.138077 0.143705 37.503075 0.016038 0.003507 1.108874 2160.552306 0.910328 189525.440480 0.035178
0.138669 0.144388 45.089522 0.019283 0.003499 1.224604 2268.715899 0.956584 198762.428775 0.036893
